DOEID,MONEYPY,HOUSEHOLDER_RACE,SCALEE,UATYP10,DIVISION,
103381,15,1,0,U,Middle Atlantic,
103382,9,1,0,U,Mountain,
103383,11,1,0,U,West South Central,
103384,11,1,0,R,South Atlantic,
103385,13,1,0,R,West South Central,
103386,14,1,2,C,Pacific,
103387,15,1,0,R,East South Central,
103388,7,2,2,U,Pacific,
103389,13,1,0,U,West South Central,
103390,13,1,0,C,Middle Atlantic,
103391,7,1,0,R,West North Central,
103392,14,1,0,U,Middle Atlantic,
103393,1,1,0,U,East South Central,
103394,15,4,0,C,Pacific,
103395,11,1,0,R,South Atlantic,
103396,16,1,0,U,South Atlantic,
103397,16,1,0,U,Mountain,
103398,13,1,0,C,Middle Atlantic,
103399,13,1,0,U,South Atlantic,
103400,15,2,0,U,Mountain,
103401,8,1,0,R,East North Central,
103402,12,1,0,U,West South Central,
103403,15,1,0,U,Mountain,
103404,1,1,0,U,Pacific,
103405,12,1,0,U,South Atlantic,
103406,11,4,0,U,Middle Atlantic,
103407,13,1,0,R,West North Central,
103408,14,3,0,U,West South Central,
103409,16,1,0,U,New England,
103410,11,1,0,U,Mountain,
103411,15,1,0,U,Mountain,
103412,15,1,0,U,Middle Atlantic,
103413,15,1,0,U,West North Central,
103414,5,1,0,R,West South Central,
103415,13,1,0,R,East North Central,
103416,13,1,0,U,East North Central,
103417,16,1,0,U,South Atlantic,
103418,16,1,0,U,South Atlantic,
103419,11,1,0,C,East North Central,
103420,6,1,0,U,East North Central,
103421,11,1,0,U,South Atlantic,
103422,14,4,0,U,East North Central,
103423,15,1,0,U,Pacific,
103424,15,1,0,U,West North Central,
103425,3,2,2,U,South Atlantic,
103426,13,1,0,U,West North Central,
103427,12,1,0,R,Pacific,
103428,11,1,0,R,West South Central,
103429,13,1,0,R,East South Central,
103430,14,1,0,R,West North Central,
103431,16,1,0,U,South Atlantic,
103432,16,1,0,R,Middle Atlantic,
103433,5,1,0,U,New England,
103434,14,1,0,U,South Atlantic,
103435,13,1,0,C,East North Central,
103436,8,1,0,U,South Atlantic,
103437,14,1,2,U,Middle Atlantic,
103438,15,1,0,R,West South Central,
103439,12,1,0,U,East South Central,
103440,16,1,0,U,Middle Atlantic,
103441,13,1,0,C,Pacific,
103442,15,2,0,U,East South Central,
103443,15,1,0,U,New England,
103444,14,2,0,U,East North Central,
103445,11,1,0,U,South Atlantic,
103446,13,1,0,R,East South Central,
103447,14,1,0,R,East North Central,
103448,8,1,0,U,West North Central,
103449,15,1,0,U,Pacific,
103450,14,2,0,U,South Atlantic,
103451,15,1,0,U,Mountain,
103452,14,1,0,U,West North Central,
103453,15,1,0,R,East North Central,
103454,15,1,0,C,East South Central,
103455,15,1,0,U,South Atlantic,
103456,6,1,0,U,Middle Atlantic,
103457,16,1,0,U,West South Central,
103458,7,1,0,U,West North Central,
103459,15,1,0,U,West South Central,
103460,16,1,0,U,East North Central,
103461,11,1,0,U,Pacific,
103462,10,1,0,U,New England,
103463,3,1,0,U,Pacific,
103464,16,1,0,U,Pacific,
103465,15,1,0,U,Pacific,
103466,12,1,0,U,New England,
103467,14,1,0,R,East North Central,
103468,9,1,0,C,Mountain,
103469,1,1,1,U,Mountain,
103470,16,1,0,R,Pacific,
103471,14,1,0,U,South Atlantic,
103472,13,1,0,U,South Atlantic,
103473,14,1,0,U,Middle Atlantic,
103474,13,1,0,U,Middle Atlantic,
103475,15,1,0,R,New England,
103476,15,1,0,U,New England,
103477,16,1,0,R,East North Central,
103478,16,1,0,U,West South Central,
103479,11,1,0,C,West North Central,
103480,12,1,0,R,East South Central,
103481,10,6,2,U,Pacific,
103482,15,1,0,C,West North Central,
103483,15,1,0,U,Mountain,
103484,4,1,3,U,West North Central,
103485,13,1,0,U,East North Central,
103486,8,1,2,U,South Atlantic,
103487,8,5,0,U,Mountain,
103488,15,1,0,C,West North Central,
103489,4,1,0,R,South Atlantic,
103490,13,1,0,R,West South Central,
103491,15,1,0,R,East North Central,
103492,10,1,0,R,New England,
103493,15,1,0,R,Pacific,
103494,16,4,0,U,Pacific,
103495,6,1,0,R,South Atlantic,
103496,11,1,0,R,West North Central,
103497,1,6,0,U,West South Central,
103498,9,1,3,U,Mountain,
103499,1,1,0,U,South Atlantic,
103500,16,4,0,U,Pacific,
103501,8,1,0,U,South Atlantic,
103502,2,1,0,U,Mountain,
103503,7,1,0,C,Pacific,
103504,16,1,0,U,Pacific,
103505,15,1,0,U,Middle Atlantic,
103506,11,1,0,U,East North Central,
103507,11,1,0,R,South Atlantic,
103508,11,1,0,U,East North Central,
103509,15,1,0,U,Mountain,
103510,13,2,0,U,South Atlantic,
103511,12,1,0,U,Middle Atlantic,
103512,13,1,0,U,South Atlantic,
103513,15,1,0,U,New England,
103514,9,1,0,U,East South Central,
103515,15,1,0,U,South Atlantic,
103516,16,1,0,U,Middle Atlantic,
103517,12,1,0,U,Mountain,
103518,9,1,0,U,West North Central,
103519,15,1,0,U,New England,
103520,13,4,0,U,Middle Atlantic,
103521,10,1,0,U,East North Central,
103522,14,1,0,R,East North Central,
103523,16,1,0,U,West North Central,
103524,10,1,0,U,West South Central,
103525,11,1,0,U,Mountain,
103526,15,1,0,U,East North Central,
103527,13,1,0,U,South Atlantic,
103528,13,2,0,U,South Atlantic,
103529,9,2,0,U,Mountain,
103530,11,1,0,U,Middle Atlantic,
103531,8,1,0,R,East South Central,
103532,16,1,0,U,South Atlantic,
103533,9,2,0,U,South Atlantic,
103534,16,1,0,C,Middle Atlantic,
103535,12,1,0,R,Mountain,
103536,14,1,0,U,Mountain,
103537,6,1,0,R,South Atlantic,
103538,9,1,0,U,East South Central,
103539,16,6,0,U,New England,
103540,13,1,0,U,Pacific,
103541,8,1,0,U,New England,
103542,9,5,0,U,Pacific,
103543,16,1,0,U,East North Central,
103544,16,1,0,C,East South Central,
103545,12,1,0,C,Mountain,
103546,6,1,0,U,Pacific,
103547,11,2,3,U,South Atlantic,
103548,16,1,0,U,New England,
103549,13,2,3,U,South Atlantic,
103550,10,1,0,C,West South Central,
103551,14,2,0,U,South Atlantic,
103552,3,1,0,R,East South Central,
103553,3,2,0,U,South Atlantic,
103554,13,4,0,C,East North Central,
103555,14,1,0,U,West North Central,
103556,16,1,0,U,Mountain,
103557,8,1,0,R,Pacific,
103558,9,1,0,U,South Atlantic,
103559,15,1,0,U,Mountain,
103560,11,1,0,R,East North Central,
103561,6,1,0,U,Pacific,
103562,14,1,0,U,Mountain,
103563,16,1,0,U,South Atlantic,
103564,14,1,0,U,Pacific,
103565,5,1,0,U,West North Central,
103566,12,2,0,U,Middle Atlantic,
103567,1,2,0,U,East North Central,
103568,15,1,0,R,Pacific,
103569,14,4,0,U,Pacific,
103570,7,1,0,R,South Atlantic,
103571,9,1,0,R,New England,
103572,15,1,0,U,East South Central,
103573,13,1,0,U,New England,
103574,4,1,3,R,Pacific,
103575,16,1,0,R,New England,
103576,14,1,0,U,West North Central,
103577,14,1,0,U,East North Central,
103578,6,1,2,C,East North Central,
103579,4,1,0,C,Pacific,
103580,6,1,0,R,Middle Atlantic,
103581,11,1,0,C,Middle Atlantic,
103582,13,1,0,U,East North Central,
103583,13,4,0,U,Pacific,
103584,15,1,0,U,Middle Atlantic,
103585,13,1,3,U,East South Central,
103586,8,1,0,R,South Atlantic,
103587,9,1,0,U,East North Central,
103588,15,1,0,U,West South Central,
103589,6,1,0,U,Middle Atlantic,
103590,15,1,0,R,New England,
103591,3,1,0,U,Middle Atlantic,
103592,13,1,0,C,Mountain,
103593,16,1,0,U,East North Central,
103594,3,2,0,U,East North Central,
103595,4,2,3,U,South Atlantic,
103596,15,4,0,U,Pacific,
103597,15,1,0,R,Mountain,
103598,9,1,0,U,Mountain,
103599,13,1,3,R,West North Central,
103600,13,1,0,C,Middle Atlantic,
103601,16,1,0,U,South Atlantic,
103602,16,1,0,U,East North Central,
103603,13,1,0,U,Mountain,
103604,13,2,0,U,South Atlantic,
103605,15,1,0,U,Middle Atlantic,
103606,13,1,0,U,Pacific,
103607,11,1,1,C,West South Central,
103608,15,1,0,C,East North Central,
103609,6,1,2,C,Middle Atlantic,
103610,11,2,0,U,Mountain,
103611,14,1,0,R,Middle Atlantic,
103612,11,1,0,U,Pacific,
103613,2,1,0,C,Mountain,
103614,15,1,0,U,East North Central,
103615,14,1,0,C,Mountain,
103616,8,1,0,U,Pacific,
103617,7,1,0,U,Middle Atlantic,
103618,9,2,0,U,Pacific,
103619,14,1,0,R,South Atlantic,
103620,15,1,0,U,South Atlantic,
103621,15,1,0,R,Middle Atlantic,
103622,15,6,3,U,East North Central,
103623,12,1,0,C,East South Central,
103624,8,1,0,R,South Atlantic,
103625,9,1,0,R,South Atlantic,
103626,12,1,0,U,West South Central,
103627,15,1,0,R,South Atlantic,
103628,15,1,0,U,Middle Atlantic,
103629,12,4,0,U,East North Central,
103630,11,1,0,R,New England,
103631,1,4,0,U,West South Central,
103632,14,1,0,C,Mountain,
103633,14,1,0,C,New England,
103634,14,1,0,U,South Atlantic,
103635,11,2,2,U,South Atlantic,
103636,16,1,0,U,Middle Atlantic,
103637,12,2,0,R,East South Central,
103638,1,1,0,U,West South Central,
103639,16,1,0,U,Mountain,
103640,15,2,0,U,South Atlantic,
103641,16,1,0,R,New England,
103642,13,1,0,U,Mountain,
103643,3,1,0,U,New England,
103644,6,2,1,U,East South Central,
103645,1,4,0,U,South Atlantic,
103646,15,1,0,U,East North Central,
103647,15,1,0,R,West North Central,
103648,14,1,0,U,South Atlantic,
103649,12,1,0,R,East South Central,
103650,3,6,0,U,Mountain,
103651,16,1,0,U,South Atlantic,
103652,13,1,0,U,West South Central,
103653,9,1,0,U,South Atlantic,
103654,13,1,0,U,Pacific,
103655,14,1,0,U,East North Central,
103656,1,1,2,U,West South Central,
103657,11,1,0,C,Mountain,
103658,11,1,0,U,East North Central,
103659,16,5,0,C,Pacific,
103660,16,1,0,U,West South Central,
103661,6,1,0,U,South Atlantic,
103662,14,4,0,U,South Atlantic,
103663,16,1,0,U,West North Central,
103664,16,1,0,U,West South Central,
103665,15,1,0,U,West North Central,
103666,12,1,0,R,East South Central,
103667,9,1,0,U,South Atlantic,
103668,6,1,0,U,Pacific,
103669,11,1,0,R,East North Central,
103670,10,1,0,U,East South Central,
103671,15,1,0,U,Pacific,
103672,16,1,0,U,East South Central,
103673,7,1,0,U,Middle Atlantic,
103674,15,1,0,U,New England,
103675,13,1,0,U,Middle Atlantic,
103676,4,1,0,R,East South Central,
103677,8,2,0,U,Mountain,
103678,15,1,0,U,South Atlantic,
103679,14,1,3,R,Mountain,
103680,14,1,3,U,Middle Atlantic,
103681,15,1,0,U,South Atlantic,
103682,16,1,0,U,New England,
103683,16,1,3,U,West North Central,
103684,12,1,0,U,Pacific,
103685,5,1,0,U,South Atlantic,
103686,14,1,0,R,West North Central,
103687,16,1,0,U,Pacific,
103688,6,1,3,U,East North Central,
103689,10,1,0,R,Mountain,
103690,15,1,0,U,East North Central,
103691,15,1,0,R,East North Central,
103692,8,1,0,C,Pacific,
103693,7,1,0,U,East North Central,
103694,11,1,0,U,Middle Atlantic,
103695,15,1,0,R,West South Central,
103696,7,1,0,C,East South Central,
103697,13,1,0,U,Middle Atlantic,
103698,7,1,0,U,East North Central,
103699,10,1,0,R,West North Central,
103700,13,1,0,U,Pacific,
103701,16,4,0,U,Pacific,
103702,7,1,0,U,Middle Atlantic,
103703,16,1,0,U,South Atlantic,
103704,11,1,0,C,West North Central,
103705,3,1,0,U,East North Central,
103706,6,1,0,R,West North Central,
103707,9,1,0,C,Mountain,
103708,6,1,0,U,New England,
103709,16,1,0,U,West North Central,
103710,7,1,0,U,Mountain,
103711,1,1,0,R,East North Central,
103712,14,1,0,U,West North Central,
103713,13,6,0,U,Pacific,
103714,15,1,0,C,East North Central,
103715,15,4,0,U,Pacific,
103716,14,1,0,U,Middle Atlantic,
103717,15,6,0,C,Pacific,
103718,16,1,0,U,South Atlantic,
103719,2,1,3,C,West South Central,
103720,16,1,0,R,West North Central,
103721,16,4,0,U,Pacific,
103722,13,1,0,U,New England,
103723,13,1,0,R,South Atlantic,
103724,14,1,0,C,South Atlantic,
103725,12,1,3,U,West South Central,
103726,16,1,0,U,East North Central,
103727,14,1,0,U,Pacific,
103728,14,1,0,U,Middle Atlantic,
103729,15,1,0,U,West North Central,
103730,16,1,0,R,West South Central,
103731,14,1,0,U,Pacific,
103732,7,1,0,R,Pacific,
103733,16,1,0,R,South Atlantic,
103734,11,1,0,U,West South Central,
103735,15,2,0,U,East North Central,
103736,12,1,0,U,Pacific,
103737,13,2,0,U,East North Central,
103738,14,1,0,U,New England,
103739,14,1,0,U,West North Central,
103740,1,1,1,R,East North Central,
103741,8,1,0,U,East North Central,
103742,16,1,0,U,New England,
103743,12,1,0,R,Mountain,
103744,9,1,0,U,Middle Atlantic,
103745,9,1,0,U,Mountain,
103746,16,1,0,R,Pacific,
103747,13,1,0,R,East South Central,
103748,16,1,0,U,West North Central,
103749,14,1,0,C,South Atlantic,
103750,16,1,0,U,New England,
103751,11,1,0,R,West North Central,
103752,11,1,0,U,South Atlantic,
103753,15,2,0,U,Middle Atlantic,
103754,15,1,0,C,East North Central,
103755,13,1,0,U,East South Central,
103756,14,1,0,U,West North Central,
103757,14,1,0,U,South Atlantic,
103758,1,1,0,R,South Atlantic,
103759,16,1,0,C,East South Central,
103760,16,1,0,U,Pacific,
103761,15,1,0,U,South Atlantic,
103762,11,1,0,U,Pacific,
103763,14,2,0,U,Middle Atlantic,
103764,6,6,0,U,South Atlantic,
103765,13,1,0,R,East North Central,
103766,15,1,0,U,Pacific,
103767,7,1,0,U,West South Central,
103768,9,1,0,U,South Atlantic,
103769,4,1,0,U,Middle Atlantic,
103770,15,1,0,R,South Atlantic,
103771,13,1,0,R,West North Central,
103772,8,1,2,U,Pacific,
103773,4,6,0,U,West North Central,
103774,16,1,0,U,Mountain,
103775,1,6,0,U,East North Central,
103776,16,1,0,U,Pacific,
103777,16,1,0,U,South Atlantic,
103778,12,1,3,C,East South Central,
103779,10,1,0,U,East North Central,
103780,12,2,2,U,East North Central,
103781,16,1,0,U,South Atlantic,
103782,14,1,0,U,Pacific,
103783,8,1,0,U,South Atlantic,
103784,15,1,0,R,South Atlantic,
103785,14,1,0,U,South Atlantic,
103786,7,6,0,R,East South Central,
103787,16,1,0,C,West North Central,
103788,6,1,0,U,Middle Atlantic,
103789,6,1,0,R,New England,
103790,16,4,0,U,Pacific,
103791,9,1,0,R,East South Central,
103792,6,1,0,C,West North Central,
103793,14,1,0,R,South Atlantic,
103794,5,1,0,U,West North Central,
103795,6,1,0,U,New England,
103796,15,1,0,U,West South Central,
103797,13,1,0,U,Pacific,
103798,14,1,0,U,East South Central,
103799,5,2,0,U,East North Central,
103800,12,1,0,U,New England,
103801,15,1,0,U,Mountain,
103802,12,1,0,U,Pacific,
103803,1,1,0,U,West South Central,
103804,5,1,0,R,South Atlantic,
103805,9,1,0,U,Mountain,
103806,16,1,0,U,New England,
103807,15,1,0,U,East North Central,
103808,16,1,0,U,Middle Atlantic,
103809,9,1,0,U,Mountain,
103810,16,1,0,R,Pacific,
103811,12,2,0,U,West North Central,
103812,11,1,0,U,Pacific,
103813,7,1,0,C,Mountain,
103814,14,2,0,C,West North Central,
103815,12,1,0,U,East South Central,
103816,7,1,0,U,Mountain,
103817,16,1,0,U,West South Central,
103818,15,6,0,U,Mountain,
103819,13,1,0,U,West South Central,
103820,13,1,0,R,Pacific,
103821,10,2,0,U,Middle Atlantic,
103822,15,1,0,R,New England,
103823,7,1,0,C,Pacific,
103824,9,1,0,U,East North Central,
103825,16,4,0,U,Pacific,
103826,1,3,0,R,East South Central,
103827,9,1,0,C,East South Central,
103828,3,1,0,U,East South Central,
103829,14,1,0,U,Middle Atlantic,
103830,10,1,0,U,South Atlantic,
103831,14,1,0,U,South Atlantic,
103832,16,1,0,U,East South Central,
103833,13,1,0,R,East North Central,
103834,15,1,0,U,Middle Atlantic,
103835,4,2,0,U,East South Central,
103836,11,1,0,C,East South Central,
103837,13,1,0,R,East South Central,
103838,11,1,0,U,Mountain,
103839,1,1,3,U,South Atlantic,
103840,11,1,0,U,South Atlantic,
103841,5,1,0,U,South Atlantic,
103842,15,1,1,U,East North Central,
103843,16,1,0,U,East North Central,
103844,13,1,0,R,East North Central,
103845,10,1,0,U,Pacific,
103846,4,2,3,R,South Atlantic,
103847,12,1,0,R,West North Central,
103848,14,1,3,C,East South Central,
103849,16,1,0,U,West North Central,
103850,15,1,0,C,West North Central,
103851,16,6,0,R,East South Central,
103852,15,1,0,R,New England,
103853,14,1,0,U,East North Central,
103854,14,1,0,U,South Atlantic,
103855,13,4,0,U,Pacific,
103856,13,1,3,U,East North Central,
103857,8,1,0,R,Pacific,
103858,5,6,0,U,South Atlantic,
103859,12,1,0,R,East South Central,
103860,12,1,0,U,New England,
103861,13,1,0,C,West South Central,
103862,16,1,0,U,West North Central,
103863,16,1,0,U,West North Central,
103864,15,1,0,U,Middle Atlantic,
103865,10,6,0,U,Middle Atlantic,
103866,11,1,0,U,South Atlantic,
103867,14,6,0,U,Mountain,
103868,15,1,0,U,Middle Atlantic,
103869,16,1,0,U,South Atlantic,
103870,12,1,0,U,Mountain,
103871,8,1,1,C,South Atlantic,
103872,12,4,0,U,West South Central,
103873,13,1,0,U,Mountain,
103874,16,1,0,U,Pacific,
103875,15,1,0,U,South Atlantic,
103876,14,1,3,U,West North Central,
103877,16,1,0,U,Mountain,
103878,12,1,0,R,Mountain,
103879,9,1,0,U,South Atlantic,
103880,3,1,0,U,Mountain,
103881,13,1,0,C,East North Central,
103882,15,1,2,R,South Atlantic,
103883,16,4,0,U,Middle Atlantic,
103884,13,2,0,U,Middle Atlantic,
103885,15,6,0,U,East South Central,
103886,12,2,0,U,Mountain,
103887,15,1,0,R,South Atlantic,
103888,6,1,0,C,Mountain,
103889,4,1,3,U,Mountain,
103890,16,1,0,R,East South Central,
103891,12,1,0,U,South Atlantic,
103892,14,4,0,U,South Atlantic,
103893,9,1,0,U,East South Central,
103894,6,1,0,R,New England,
103895,15,1,0,R,South Atlantic,
103896,16,1,0,U,Pacific,
103897,11,1,0,U,Pacific,
103898,12,1,0,R,South Atlantic,
103899,15,1,0,U,South Atlantic,
103900,15,1,0,U,West North Central,
103901,13,1,0,R,West North Central,
103902,12,1,0,R,West South Central,
103903,13,2,3,U,Middle Atlantic,
103904,12,1,0,U,Mountain,
103905,4,1,0,U,Middle Atlantic,
103906,15,1,0,U,West North Central,
103907,7,1,0,U,South Atlantic,
103908,15,1,0,U,East South Central,
103909,13,1,0,R,West North Central,
103910,7,1,3,R,East North Central,
103911,10,1,3,U,West North Central,
103912,14,1,0,U,Pacific,
103913,16,1,0,U,New England,
103914,16,1,0,R,South Atlantic,
103915,6,2,0,U,Middle Atlantic,
103916,12,5,3,U,Pacific,
103917,14,1,0,U,East North Central,
103918,9,1,0,R,West South Central,
103919,7,1,0,U,East South Central,
103920,15,1,0,U,Pacific,
103921,11,1,0,U,New England,
103922,16,1,0,U,South Atlantic,
103923,12,1,0,C,Pacific,
103924,9,2,1,U,South Atlantic,
103925,11,1,0,U,South Atlantic,
103926,11,1,0,C,West North Central,
103927,1,2,2,U,South Atlantic,
103928,13,2,2,U,South Atlantic,
103929,2,1,3,R,West North Central,
103930,14,6,3,U,Mountain,
103931,15,1,0,R,East North Central,
103932,14,1,0,C,West North Central,
103933,1,2,0,C,Pacific,
103934,12,3,0,U,West North Central,
103935,16,1,0,U,Mountain,
103936,7,1,3,R,New England,
103937,10,6,2,U,West South Central,
103938,10,1,0,R,East South Central,
103939,15,1,3,R,East North Central,
103940,14,6,0,U,South Atlantic,
103941,12,1,0,C,New England,
103942,9,1,0,C,Middle Atlantic,
103943,16,1,0,U,South Atlantic,
103944,4,1,0,C,Mountain,
103945,4,1,0,R,West North Central,
103946,14,1,0,U,Mountain,
103947,15,1,0,C,South Atlantic,
103948,13,1,0,U,South Atlantic,
103949,14,1,0,U,Pacific,
103950,10,1,0,R,South Atlantic,
103951,16,1,0,U,West North Central,
103952,7,2,1,U,South Atlantic,
103953,16,1,0,U,East North Central,
103954,1,1,0,U,New England,
103955,13,1,0,R,South Atlantic,
103956,7,1,0,R,Pacific,
103957,12,1,0,U,South Atlantic,
103958,7,1,2,U,Mountain,
103959,16,1,0,R,East North Central,
103960,15,1,0,C,Mountain,
103961,9,1,0,U,Mountain,
103962,12,1,0,U,Pacific,
103963,16,1,0,U,East North Central,
103964,8,1,0,U,South Atlantic,
103965,12,1,0,U,West South Central,
103966,16,1,0,U,South Atlantic,
103967,13,1,0,R,East South Central,
103968,9,1,0,C,West South Central,
103969,12,1,0,C,Mountain,
103970,12,1,0,U,East North Central,
103971,13,1,0,U,West South Central,
103972,16,2,0,U,East North Central,
103973,13,4,0,U,South Atlantic,
103974,8,1,0,R,West South Central,
103975,12,1,0,U,New England,
103976,13,1,0,U,East North Central,
103977,16,1,0,R,East North Central,
103978,14,1,0,R,Middle Atlantic,
103979,9,2,1,U,East North Central,
103980,14,1,0,U,West South Central,
103981,5,1,0,R,South Atlantic,
103982,13,3,3,R,New England,
103983,11,1,0,U,West North Central,
103984,7,1,0,U,New England,
103985,16,1,0,U,Pacific,
103986,16,4,0,U,Mountain,
103987,16,4,0,U,Pacific,
103988,5,1,0,U,West North Central,
103989,11,1,0,C,East South Central,
103990,7,2,3,U,West South Central,
103991,15,1,0,U,West South Central,
103992,3,1,0,U,New England,
103993,16,1,0,U,East South Central,
103994,14,1,3,C,Middle Atlantic,
103995,15,1,0,U,Middle Atlantic,
103996,13,1,0,U,South Atlantic,
103997,12,1,0,U,South Atlantic,
103998,7,1,0,U,South Atlantic,
103999,13,1,0,R,New England,
104000,16,1,0,R,Middle Atlantic,
104001,12,1,0,R,New England,
104002,16,2,0,U,South Atlantic,
104003,13,1,0,R,Pacific,
104004,14,1,0,U,Pacific,
104005,16,1,0,U,West North Central,
104006,16,1,0,R,West South Central,
104007,8,1,0,C,East North Central,
104008,14,4,0,U,West South Central,
104009,3,3,3,R,East North Central,
104010,6,2,0,R,South Atlantic,
104011,4,1,0,R,East North Central,
104012,16,1,0,U,West South Central,
104013,16,1,0,R,South Atlantic,
104014,16,1,0,C,South Atlantic,
104015,7,1,0,U,Mountain,
104016,11,1,0,U,South Atlantic,
104017,12,1,0,U,Middle Atlantic,
104018,16,1,0,U,South Atlantic,
104019,14,1,0,U,West North Central,
104020,16,1,0,U,East South Central,
104021,10,1,0,U,Middle Atlantic,
104022,13,1,0,U,Mountain,
104023,6,1,0,R,East South Central,
104024,8,1,0,C,Mountain,
104025,11,1,0,U,West South Central,
104026,9,1,0,R,West North Central,
104027,15,1,2,U,South Atlantic,
104028,10,1,0,U,Pacific,
104029,1,1,1,U,West South Central,
104030,14,1,0,U,Middle Atlantic,
104031,14,1,0,R,Mountain,
104032,16,1,0,U,Pacific,
104033,4,1,0,U,Pacific,
104034,8,1,0,R,New England,
104035,12,1,3,U,West South Central,
104036,6,1,0,U,West North Central,
104037,13,1,0,U,Middle Atlantic,
104038,2,1,2,C,West North Central,
104039,11,1,0,U,West North Central,
104040,10,1,0,U,South Atlantic,
104041,14,1,0,U,Middle Atlantic,
104042,8,1,0,U,New England,
104043,15,1,0,U,New England,
104044,15,2,0,U,South Atlantic,
104045,9,1,0,U,Pacific,
104046,7,1,0,U,West South Central,
104047,15,1,0,U,Mountain,
104048,16,6,0,R,South Atlantic,
104049,16,1,0,U,Middle Atlantic,
104050,1,1,0,C,East South Central,
104051,15,2,3,U,South Atlantic,
104052,8,1,0,U,East North Central,
104053,9,1,2,C,East South Central,
104054,12,1,0,R,Mountain,
104055,15,1,0,U,Pacific,
104056,15,1,0,R,West North Central,
104057,15,1,0,R,East South Central,
104058,15,1,0,R,Pacific,
104059,14,6,0,U,South Atlantic,
104060,13,1,0,U,South Atlantic,
104061,12,1,0,U,South Atlantic,
104062,15,4,0,U,Pacific,
104063,6,4,0,U,Pacific,
104064,15,1,0,U,Middle Atlantic,
104065,16,1,0,U,South Atlantic,
104066,13,6,0,U,East South Central,
104067,8,1,0,U,South Atlantic,
104068,9,1,0,U,Pacific,
104069,16,1,0,U,Pacific,
104070,4,1,0,U,Pacific,
104071,11,4,0,U,West South Central,
104072,13,1,0,R,New England,
104073,14,1,0,R,East South Central,
104074,9,1,0,R,West South Central,
104075,9,1,0,C,Middle Atlantic,
104076,13,1,0,U,New England,
104077,7,1,0,R,West North Central,
104078,13,1,2,C,West South Central,
104079,8,1,0,U,South Atlantic,
104080,8,1,0,U,Pacific,
104081,15,1,0,U,West North Central,
104082,10,1,3,R,South Atlantic,
104083,16,1,0,U,New England,
104084,4,1,0,C,Pacific,
104085,11,1,0,U,New England,
104086,12,1,0,C,South Atlantic,
104087,15,2,0,U,East South Central,
104088,10,2,0,U,East South Central,
104089,5,1,0,U,Middle Atlantic,
104090,12,1,0,U,New England,
104091,16,1,0,U,Mountain,
104092,11,1,0,R,South Atlantic,
104093,5,1,0,R,West North Central,
104094,6,1,0,R,East South Central,
104095,4,1,2,U,Pacific,
104096,16,1,0,R,New England,
104097,11,1,0,U,Pacific,
104098,12,3,0,U,Pacific,
104099,9,2,2,U,Middle Atlantic,
104100,15,1,0,U,East North Central,
104101,12,1,0,C,West North Central,
104102,12,2,0,U,West South Central,
104103,13,1,0,U,West South Central,
104104,12,3,0,U,West North Central,
104105,11,1,0,R,New England,
104106,15,1,0,U,South Atlantic,
104107,12,1,0,U,West North Central,
104108,16,1,0,U,Middle Atlantic,
104109,15,2,0,U,West North Central,
104110,14,1,0,C,Mountain,
104111,2,2,0,U,Middle Atlantic,
104112,12,2,0,U,East North Central,
104113,8,1,0,C,East South Central,
104114,13,1,0,U,South Atlantic,
104115,11,1,0,R,West South Central,
104116,2,1,0,C,West North Central,
104117,16,1,0,U,New England,
104118,13,1,0,U,South Atlantic,
104119,13,1,0,U,East North Central,
104120,10,1,0,U,Mountain,
104121,11,4,0,U,Pacific,
104122,15,1,0,U,Pacific,
104123,11,1,0,U,South Atlantic,
104124,12,1,0,R,New England,
104125,11,1,0,U,Mountain,
104126,12,2,2,U,East South Central,
104127,15,1,0,U,West North Central,
104128,8,1,3,R,West South Central,
104129,13,1,0,U,New England,
104130,1,2,0,C,West South Central,
104131,7,1,0,U,South Atlantic,
104132,12,1,0,U,Middle Atlantic,
104133,15,1,0,R,Pacific,
104134,4,1,0,U,Mountain,
104135,15,1,0,C,East South Central,
104136,13,6,0,U,Pacific,
104137,9,1,0,U,East South Central,
104138,13,1,0,U,South Atlantic,
104139,16,1,0,R,South Atlantic,
104140,14,1,0,U,South Atlantic,
104141,11,1,0,R,South Atlantic,
104142,11,1,0,R,East North Central,
104143,15,1,0,U,Mountain,
104144,16,2,0,R,South Atlantic,
104145,8,1,0,C,West North Central,
104146,14,1,0,R,East North Central,
104147,12,1,0,U,West North Central,
104148,13,1,0,U,East South Central,
104149,16,4,0,U,Middle Atlantic,
104150,15,1,0,R,East North Central,
104151,16,1,0,U,Pacific,
104152,14,1,0,U,Mountain,
104153,15,1,0,U,East North Central,
104154,15,1,0,U,Middle Atlantic,
104155,8,2,0,U,Pacific,
104156,14,1,0,U,West South Central,
104157,10,6,0,R,West South Central,
104158,11,1,0,U,Mountain,
104159,11,1,0,R,West North Central,
104160,15,1,3,R,Mountain,
104161,14,1,0,C,Mountain,
104162,11,1,0,U,Mountain,
104163,15,1,0,C,East North Central,
104164,8,1,0,R,Mountain,
104165,15,1,0,U,East North Central,
104166,16,1,0,U,New England,
104167,9,1,0,R,West North Central,
104168,15,1,0,R,East South Central,
104169,16,1,0,U,New England,
104170,14,3,0,U,Mountain,
104171,16,1,0,U,South Atlantic,
104172,9,2,2,U,East South Central,
