DOEID,MONEYPY,HOUSEHOLDER_RACE,SCALEE,UATYP10,DIVISION,
100182,15,1,0,U,West South Central,
100183,15,1,0,U,South Atlantic,
100184,15,1,0,R,New England,
100185,15,2,0,U,East North Central,
100186,15,1,0,U,East North Central,
100187,13,1,0,U,East South Central,
100188,14,1,0,U,Middle Atlantic,
100189,7,1,0,U,Mountain,
100190,6,1,0,R,West North Central,
100191,7,1,2,C,East North Central,
100192,11,1,0,U,Middle Atlantic,
100193,3,1,0,R,South Atlantic,
100194,2,1,0,R,East South Central,
100195,14,1,0,U,West North Central,
100196,13,1,0,U,South Atlantic,
100197,10,1,0,U,Pacific,
100198,11,1,0,U,South Atlantic,
100199,1,2,2,C,West South Central,
100200,4,1,0,R,East South Central,
100201,7,1,0,U,Mountain,
100202,6,1,0,U,West North Central,
100203,15,1,0,R,South Atlantic,
100204,5,2,0,U,East South Central,
100205,15,1,0,U,South Atlantic,
100206,16,1,0,R,East South Central,
100207,15,4,0,U,Mountain,
100208,1,1,0,R,Pacific,
100209,12,2,0,U,East South Central,
100210,6,1,0,R,Mountain,
100211,11,5,0,U,Pacific,
100212,13,1,0,U,East North Central,
100213,10,1,0,U,Mountain,
100214,14,1,0,C,Mountain,
100215,7,1,0,R,New England,
100216,4,1,0,U,Pacific,
100217,13,1,2,R,East North Central,
100218,7,1,0,C,East North Central,
100219,14,4,0,U,Pacific,
100220,16,1,0,R,East North Central,
100221,15,1,0,U,West North Central,
100222,16,1,0,U,New England,
100223,9,2,0,U,Pacific,
100224,13,1,0,R,Mountain,
100225,13,1,0,U,West South Central,
100226,11,4,0,U,New England,
100227,13,1,0,U,Middle Atlantic,
100228,14,1,0,C,East South Central,
100229,14,6,0,R,West South Central,
100230,8,1,0,C,Middle Atlantic,
100231,13,1,0,U,East South Central,
100232,15,1,0,U,East South Central,
100233,14,1,0,U,East North Central,
100234,15,1,0,U,East North Central,
100235,8,1,0,C,Pacific,
100236,2,1,0,U,New England,
100237,16,1,0,U,Middle Atlantic,
100238,13,1,0,U,Pacific,
100239,11,1,0,R,Pacific,
100240,13,1,0,R,West South Central,
100241,11,1,0,U,West North Central,
100242,9,1,0,U,Pacific,
100243,14,1,0,U,New England,
100244,14,1,0,U,South Atlantic,
100245,13,2,0,U,Middle Atlantic,
100246,16,1,0,U,Mountain,
100247,14,1,0,U,South Atlantic,
100248,12,1,0,U,Pacific,
100249,16,1,0,U,Middle Atlantic,
100250,12,1,0,U,West South Central,
100251,4,1,0,R,Middle Atlantic,
100252,7,1,0,U,East South Central,
100253,13,1,0,U,New England,
100254,6,1,0,U,Mountain,
100255,14,1,0,U,South Atlantic,
100256,11,1,0,U,West South Central,
100257,14,1,0,U,Middle Atlantic,
100258,7,1,0,U,West North Central,
100259,10,1,0,C,Pacific,
100260,13,1,0,R,South Atlantic,
100261,8,1,0,U,East South Central,
100262,14,1,0,U,Mountain,
100263,13,1,0,U,Pacific,
100264,9,1,0,R,East North Central,
100265,13,1,2,R,Middle Atlantic,
100266,15,1,0,U,South Atlantic,
100267,6,1,0,C,West North Central,
100268,16,1,0,U,South Atlantic,
100269,13,1,0,R,West North Central,
100270,13,1,0,R,Mountain,
100271,16,1,0,U,Middle Atlantic,
100272,16,1,0,R,West North Central,
100273,4,1,0,U,Mountain,
100274,16,1,0,U,South Atlantic,
100275,13,1,0,U,East South Central,
100276,14,4,0,R,Pacific,
100277,14,1,0,U,Mountain,
100278,14,1,0,U,Pacific,
100279,15,1,0,U,South Atlantic,
100280,1,1,3,U,Mountain,
100281,15,1,0,R,East North Central,
100282,5,1,2,U,East South Central,
100283,15,1,0,U,Middle Atlantic,
100284,11,1,0,U,Middle Atlantic,
100285,7,1,0,U,Mountain,
100286,10,2,0,R,East North Central,
100287,13,6,3,U,Pacific,
100288,12,4,0,U,Pacific,
100289,11,1,0,U,West South Central,
100290,9,1,0,U,Mountain,
100291,6,1,0,R,East South Central,
100292,14,1,0,R,Pacific,
100293,10,1,0,U,Pacific,
100294,16,1,3,U,West South Central,
100295,15,1,0,U,Pacific,
100296,1,1,0,R,East South Central,
100297,13,6,0,U,Pacific,
100298,4,1,0,U,New England,
100299,13,1,0,U,Middle Atlantic,
100300,12,1,0,C,Mountain,
100301,7,2,0,U,Pacific,
100302,13,1,3,R,New England,
100303,16,2,0,U,South Atlantic,
100304,14,2,3,U,West South Central,
